nama_lomba,bidang_utama,kategori,tema,jumlah_peserta,hadiah,start_date,deadline_date,penyelenggara
Gelar Pitching Summit Malang,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,386,29000000,,2025-07-15,bank indonesia   
Kompetisi Medical Hackathon Padang,Kesehatan,Teknologi Medis,Pencegahan Stunting,925,23000000,,2025-07-15,Kementerian Kesehatan RI
Kompetisi Relawan Challenge Denpasar,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Pendidikan Daerah Terpelosok,2385,39000000,,2025-08-18,KITABISA
Health Challenge Medan 2026,Kesehatan,Umum - Kesehatan,Awareness Kesehatan Mental,3284,29000000,2026-09-12,2026-11-28,WHO Indonesia
Kompetisi Startup Fest Manado,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,2447,44000000,,2024-11-18,BCA
Eco Summit Palembang 2024,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,-1111,12000000,,2024-05-09,WWF Indonesia
Kompetisi Medical Hackathon Jakarta,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1625,29000000,,2025-12-29,Kementerian Kesehatan RI
Gelar Aksi Baik Makassar,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,1719,29000000,,2025-10-01,WWF Indonesia
Pitching Summit Palembang 2025,Bisnis & Ekonomi,Kewirausahaan,Strategi Pemasaran Gen Z,213,32000000,,2025-02-19,bank indonesia   
Medical Hackathon Manado 2025,Kesehatan,Teknologi Medis,Telemedicine Inklusif,2957,25000000,,2025-05-05,WHO Indonesia
gelar codefest balikpapan   ,Tech & IT,UI/UX Design,Generative AI,2631,49000000,,2026-01-30,Kementerian Kominfo
venture challenge bali 2026   ,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,1784,16000000,,2026-09-04,Penyelenggara Independen
relawan challenge batam 2025   ,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,3253,45000000,,2025-07-01,KITABISA
Festival DevFest Medan,Tech & IT,AI/Machine Learning,Blockchain for Good,104,36000000,,2024-04-26,Kementerian Kominfo
Gelar Datathon Yogyakarta,Tech & IT,AI/Machine Learning,Smart City,3813,29000000,,2026-11-15,Google Developer Group
National Health Challenge 2024,Kesehatan,Umum - Kesehatan,Pencegahan Stunting,294,5000000,,2024-11-10,WHO INDONESIA
KOMPETISI VENTURE CHALLENGE BALIKPAPAN,Bisnis & Ekonomi,Pengembangan UMKM,Keuangan Inklusif,249,10000000,,2024-12-08,Bursa Efek Indonesia
National Relawan Challenge 2026,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,876,29000000,,2026-10-08,wwf indonesia   
Kompetisi Preneur Olympiad Batam,Bisnis & Ekonomi,Pengembangan UMKM,Umum - Bisnis & Ekonomi,786,20000000,,2026-04-15,BCA
Med Inno Yogyakarta 2026,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,3847,23000000,,2026-05-10,WHO INDONESIA
Gelar Medical Hackathon Batam,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,864,29000000,,2026-07-14,who indonesia   
Kompetisi Aksi Sehat Manado,Kesehatan,Kesehatan Mental,Pencegahan Stunting,2166,46000000,2025-03-27,2025-04-30,Yayasan Peduli Sehat
Gelar Aksi Sehat Manado,Kesehatan,Umum - Kesehatan,Awareness Kesehatan Mental,1742,46000000,,2025-04-30,yayasan peduli sehat   
NATIONAL GAGASAN MEDIS 2026,Kesehatan,Teknologi Medis,Telemedicine Inklusif,482,7000000,,2026-04-25,WHO Indonesia
National DevFest 2024,Tech & IT,Umum - Tech & IT,Umum - Tech & IT,450,29000000,,2024-05-20,AWS Indonesia
Festival Business Case Padang,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,3844,37000000,,2024-05-20,Inkubator Bisnis Univ
National Impact Fest 2024,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,2251,39000000,,2024-05-17,Kitabisa
National Health Challenge 2025,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,619,29000000,,2025-05-28,IKATAN DOKTER INDONESIA
sociopreneur samarinda 2025   ,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,1921,29000000,,2025-12-21,Penyelenggara Independen
DEVFEST DENPASAR 2024,Tech & IT,Cyber Security,Data Privacy,571,45000000,,2024-08-19,tech community   
NATIONAL GAGASAN MEDIS 2025,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,3895,30000000,2025-07-18,2025-08-12,WHO Indonesia
Gelar Preneur Olympiad Semarang,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,729,8000000,,2026-03-01,KEMENTERIAN KOPERASI DAN UKM
IDEATHON YOGYAKARTA 2025,Tech & IT,Software Development,Smart City,1360,38000000,,2025-08-14,Kementerian Kominfo
National Business Case 2025,Lainnya,Marketing,Strategi Pemasaran Gen Z,3567,45000000,,2025-08-14,Kementerian Koperasi dan UKM
Gagasan Medis Pekanbaru 2026,Kesehatan,Kesehatan Masyarakat,Inovasi Alat Medis,2881,29000000,,2026-09-15,Ikatan Dokter Indonesia
National Tech Challenge 2025,Tech & IT,Software Development,Generative AI,1135,24000000,,2025-07-22,Google Developer Group
med inno surabaya 2026   ,Kesehatan,Kesehatan Mental,Pencegahan Stunting,2144,13000000,,2026-09-22,Ikatan Dokter Indonesia
Kompetisi Aksi Baik Yogyakarta,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,-2910,36000000,,2024-06-29,Kitabisa
Kompetisi Gagasan Medis Manado,Kesehatan,Teknologi Medis,Awareness Kesehatan Mental,183,27000000,,2024-04-02,Ikatan Dokter Indonesia
national relawan challenge 2024   ,Sosial & Lingkungan,Pemberdayaan Masyarakat,Aksi Tanggap Bencana,1921,17000000,,2024-07-16,WWF Indonesia
Festival Sociopreneur Samarinda,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,902,6000000,,2026-04-02,KITABISA
kompetisi venture challenge pontianak   ,Bisnis & Ekonomi,Pengembangan UMKM,Green Economy,3809,45000000,,2026-06-27,bursa efek indonesia   
Sociopreneur Balikpapan 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,1884,18000000,,2026-08-18,wwf indonesia   
Preneur Olympiad Bali 2026,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,554,6000000,,2026-10-26,Bank Indonesia
KOMPETISI PRENEUR OLYMPIAD PONTIANAK,Bisnis & Ekonomi,Kewirausahaan,Strategi Pemasaran Gen Z,3414,50000000,2024-09-06,2024-11-11,BCA
Gelar Hackathon Malang,Tech & IT,UI/UX Design,Aplikasi Layanan Publik,1629,48000000,,2024-11-01,Kementerian Kominfo
Festival Venture Challenge Manado,Bisnis & Ekonomi,Pengembangan UMKM,Keuangan Inklusif,193,20000000,,2024-08-26,BCA
national pitching summit 2024   ,Bisnis & Ekonomi,Pengembangan UMKM,Strategi Pemasaran Gen Z,2090,25000000,,2024-09-12,BCA
national devfest 2025   ,Tech & IT,Software Development,Aplikasi Layanan Publik,749,44000000,,2025-08-04,tech community   
Gelar Medical Hackathon Nasional,Kesehatan,Kesehatan Mental,Pencegahan Stunting,3553,45000000,,2025-11-12,Ikatan Dokter Indonesia
National Aksi Baik 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Umum - Sosial & Lingkungan,2116,9000000,2026-04-28,2026-07-06,Penyelenggara Independen
Kompetisi CodeFest Samarinda,Tech & IT,Data Science,Generative AI,-1160,42000000,,2026-10-26,Tech Community
Gagasan Medis Jakarta 2026,Kesehatan,Teknologi Medis,Awareness Kesehatan Mental,-1587,44000000,,2026-07-26,Yayasan Peduli Sehat
NATIONAL PITCHING SUMMIT 2026,Bisnis & Ekonomi,Kewirausahaan,Ekonomi Sirkular,3883,29000000,,2026-09-05,INKUBATOR BISNIS UNIV
NATIONAL TECH CHALLENGE 2026,Tech & IT,Data Science,Smart City,1626,9000000,,2026-04-05,Kementerian Kominfo
Kompetisi Preneur Olympiad Nasional,Bisnis & Ekonomi,Kewirausahaan,Strategi Pemasaran Gen Z,2030,21000000,,2024-09-20,Bank Indonesia
Pitching Summit Bali 2024,Bisnis & Ekonomi,Kewirausahaan,Umum - Bisnis & Ekonomi,-641,39000000,,2024-07-29,Penyelenggara Independen
GELAR IDEATHON PEKANBARU,Tech & IT,AI/Machine Learning,Smart City,3196,31000000,,2024-07-29,Google Developer Group
Kompetisi Pitching Summit Pekanbaru,Bisnis & Ekonomi,Fintech,Green Economy,2090,42000000,,2024-11-06,KEMENTERIAN KOPERASI DAN UKM
Festival Health Challenge Balikpapan,Kesehatan,Teknologi Medis,Telemedicine Inklusif,2298,43000000,2026-01-31,2026-04-11,Ikatan Dokter Indonesia
kompetisi devfest surabaya   ,Tech & IT,UI/UX Design,Aplikasi Layanan Publik,430,27000000,,2027-01-23,Google Developer Group
CodeFest Makassar 2026,Tech & IT,UI/UX Design,Data Privacy,-3892,36000000,,2026-12-08,Tech Community
Gelar Aksi Sehat Samarinda,Kesehatan,Teknologi Medis,Telemedicine Inklusif,-2572,5000000,,2027-01-07,Ikatan Dokter Indonesia
National Startup Fest 2025,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Green Economy,1394,36000000,,2025-04-30,bca   
CodeFest Palembang 2025,Tech & IT,Software Development,Blockchain for Good,66,29000000,,2025-04-17,AWS INDONESIA
national business case 2026   ,Bisnis & Ekonomi,Kewirausahaan,Keuangan Inklusif,2090,14000000,,2026-10-30,Bank Indonesia
national devfest 2024   ,Tech & IT,UI/UX Design,Umum - Tech & IT,1435,42000000,,2024-11-17,Kementerian Kominfo
Business Case Nasional 2026,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Green Economy,2557,47000000,,2027-01-17,BCA
national venture challenge 2026   ,Bisnis & Ekonomi,Marketing,Keuangan Inklusif,1120,50000000,,2026-09-04,Bursa Efek Indonesia
national health challenge 2024   ,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,-1761,48000000,,2024-10-01,yayasan peduli sehat   
Festival Aksi Baik Semarang,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,-3086,35000000,,2026-11-26,yayasan ruangguru   
NATIONAL DEVFEST 2024,Tech & IT,Cyber Security,Aplikasi Layanan Publik,450,29000000,,2024-05-20,AWS Indonesia
Gelar Health Challenge Samarinda,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,875,5000000,,2026-08-03,yayasan peduli sehat   
hackathon padang 2024   ,Tech & IT,Software Development,Blockchain for Good,-855,28000000,2024-02-24,2024-03-17,Google Developer Group
kompetisi tech challenge nasional   ,Tech & IT,Software Development,Aplikasi Layanan Publik,3560,12000000,,2024-09-15,google developer group   
National Eco Summit 2025,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,520,29000000,,2025-05-23,Yayasan Ruangguru
National CodeFest 2026,Tech & IT,Software Development,Blockchain for Good,3579,39000000,,2026-07-10,Kementerian Kominfo
Health Challenge Bandung 2025,Kesehatan,Gizi dan Nutrisi,Umum - Kesehatan,1626,47000000,,2025-02-27,Kementerian Kesehatan RI
Pitching Summit Pontianak 2024,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,2957,12000000,,2024-03-30,bursa efek indonesia   
National Medical Hackathon 2024,Kesehatan,Teknologi Medis,Telemedicine Inklusif,2730,37000000,,2024-12-23,Kementerian Kesehatan RI
National Impact Fest 2025,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,1921,27000000,2025-09-09,2025-11-15,UNICEF Indonesia
Eco Summit Padang 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,477,16000000,,2026-08-03,Kitabisa
kompetisi startup fest pontianak   ,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,1452,41000000,,2024-08-03,Bursa Efek Indonesia
National Aksi Baik 2024,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,669,13000000,2024-10-08,2024-11-09,Kementerian Sosial
National Business Case 2025,Bisnis & Ekonomi,Kewirausahaan,Digitalisasi UMKM,1209,14000000,,2024-11-09,Penyelenggara Independen
festival hackathon batam   ,Tech & IT,Data Science,Blockchain for Good,1626,6000000,,2026-10-27,AWS Indonesia
National Health Challenge 2026,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,1263,20000000,,2026-09-10,WHO Indonesia
Hackathon Yogyakarta 2026,Tech & IT,UI/UX Design,Smart City,1626,10000000,,2026-06-15,kementerian kominfo   
Gelar Preneur Olympiad Manado,Bisnis & Ekonomi,Pengembangan UMKM,Strategi Pemasaran Gen Z,2832,29000000,,2024-06-29,BCA
Datathon Bandung 2024,Tech & IT,Cyber Security,Blockchain for Good,3143,22000000,,2024-10-24,PT Telkom Indonesia
Festival Eco Summit Padang,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,1799,8000000,,2024-10-15,UNICEF Indonesia
Venture Challenge Yogyakarta 2026,Bisnis & Ekonomi,Pengembangan UMKM,Umum - Bisnis & Ekonomi,1525,11000000,,2026-06-05,Bank Indonesia
National Hackathon 2026,Tech & IT,Data Science,Umum - Tech & IT,2288,38000000,,2026-10-28,Google Developer Group
health challenge bengkulu 2025   ,Kesehatan,Teknologi Medis,Umum - Kesehatan,1804,7000000,,2025-04-19,IKATAN DOKTER INDONESIA
Pitching Summit Malang 2026,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,2090,49000000,,2026-10-09,Bursa Efek Indonesia
ECO SUMMIT SEMARANG 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Aksi Tanggap Bencana,3119,29000000,,2026-12-10,Kitabisa
GELAR AKSI SEHAT SEMARANG,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,-3444,44000000,,2024-05-03,Ikatan Dokter Indonesia
Health Challenge Bandung 2025,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1626,47000000,,2025-02-27,KEMENTERIAN KESEHATAN RI
Gelar Aksi Baik Medan,Sosial & Lingkungan,Kemanusiaan,Pengurangan Sampah Plastik,1525,34000000,,2024-11-06,WWF Indonesia
Kompetisi Sociopreneur Batam,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,1392,11000000,,2025-06-01,UNICEF INDONESIA
gelar relawan challenge pekanbaru   ,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,3830,7000000,,2026-08-30,kitabisa   
venture challenge samarinda 2025   ,Bisnis & Ekonomi,Pengembangan UMKM,Umum - Bisnis & Ekonomi,3375,7000000,,2025-05-27,Kementerian Koperasi dan UKM
medical hackathon balikpapan 2026   ,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,3686,6000000,,2026-07-24,WHO Indonesia
National Preneur Olympiad 2025,Bisnis & Ekonomi,Fintech,Green Economy,676,32000000,,2025-08-06,Bank Indonesia
Eco Summit Nasional 2025,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,220,19000000,2025-04-12,2025-07-01,YAYASAN RUANGGURU
Venture Challenge Semarang 2025,Bisnis & Ekonomi,Pengembangan UMKM,Umum - Bisnis & Ekonomi,2090,29000000,,2025-09-07,bca   
National Impact Fest 2024,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,3012,9000000,,2024-04-22,Kitabisa
Datathon Padang 2026,Tech & IT,Umum - Tech & IT,Generative AI,2897,41000000,,2026-04-14,Tech Community
Sociopreneur Balikpapan 2025,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,1921,21000000,,2025-03-13,UNICEF Indonesia
National CodeFest 2026,Tech & IT,Cyber Security,Generative AI,608,25000000,,2026-04-09,Tech Community
Kompetisi Relawan Challenge Balikpapan,Sosial & Lingkungan,Kemanusiaan,Umum - Sosial & Lingkungan,1906,34000000,,2025-03-14,Penyelenggara Independen
Aksi Baik Jakarta 2024,Sosial & Lingkungan,Kemanusiaan,Pendidikan Daerah Terpelosok,3862,17000000,2024-04-22,2024-05-19,kementerian sosial   
National Hackathon 2025,Tech & IT,Cyber Security,Umum - Tech & IT,3111,32000000,,2025-09-18,AWS Indonesia
Sociopreneur Samarinda 2025,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,-2826,29000000,,2025-12-21,UNICEF Indonesia
Relawan Challenge Bandung 2026,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,3401,37000000,,2026-09-05,Kitabisa
National Aksi Baik 2024,Lainnya,Kemanusiaan,Aksi Tanggap Bencana,1428,29000000,2024-03-06,2026-09-05,yayasan ruangguru   
Business Case Makassar 2026,Bisnis & Ekonomi,Marketing,Green Economy,81,16000000,,2026-09-05,bursa efek indonesia   
med inno semarang 2025   ,Kesehatan,Kesehatan Mental,Inovasi Alat Medis,1663,23000000,,2026-09-05,ikatan dokter indonesia   
Festival Preneur Olympiad Denpasar,Bisnis & Ekonomi,Business Plan,Ekonomi Sirkular,3774,29000000,,2026-09-05,Bursa Efek Indonesia
AKSI SEHAT YOGYAKARTA 2024,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1804,27000000,,2024-04-10,YAYASAN PEDULI SEHAT
CodeFest Semarang 2026,Tech & IT,UI/UX Design,Smart City,1706,29000000,,2026-05-01,Tech Community
Tech Challenge Yogyakarta 2024,Tech & IT,Software Development,Blockchain for Good,1012,26000000,,2024-07-22,google developer group   
DEVFEST SEMARANG 2024,Tech & IT,Cyber Security,Aplikasi Layanan Publik,2424,26000000,,2024-06-27,Google Developer Group
Aksi Baik Palembang 2026,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,2349,29000000,,2026-12-06,Yayasan Ruangguru
Startup Fest Bengkulu 2026,Bisnis & Ekonomi,Kewirausahaan,Green Economy,2134,46000000,,2026-12-06,kementerian koperasi dan ukm   
Festival Pitching Summit Denpasar,Bisnis & Ekonomi,Fintech,Strategi Pemasaran Gen Z,3775,20000000,2025-03-29,2025-06-12,Kementerian Koperasi dan UKM
Gelar Eco Summit Padang,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,1921,34000000,,2026-08-13,KITABISA
CodeFest Semarang 2025,Tech & IT,Data Science,Generative AI,1626,20000000,,2025-06-29,Google Developer Group
Datathon Batam 2026,Tech & IT,Software Development,Smart City,-1741,50000000,,2025-06-29,PT TELKOM INDONESIA
National Eco Summit 2025,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Aksi Tanggap Bencana,-662,14000000,,2025-05-04,KITABISA
Datathon Bengkulu 2024,Tech & IT,Data Science,Smart City,1626,29000000,,2024-09-07,Tech Community
National Ideathon 2024,Tech & IT,Cyber Security,Smart City,461,13000000,,2024-03-17,Google Developer Group
Gelar Business Case Samarinda,Bisnis & Ekonomi,Business Plan,Digitalisasi UMKM,2090,40000000,2025-09-02,2025-09-18,Penyelenggara Independen
national venture challenge 2026   ,Lainnya,Business Plan,Keuangan Inklusif,1840,18000000,,2026-05-07,Penyelenggara Independen
National Eco Summit 2024,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,3370,26000000,,2024-10-31,WWF Indonesia
GAGASAN MEDIS SEMARANG 2024,Kesehatan,Kesehatan Mental,Pencegahan Stunting,1627,34000000,,2024-05-13,yayasan peduli sehat   
National DevFest 2024,Tech & IT,AI/Machine Learning,Blockchain for Good,-3204,6000000,,2024-06-01,Kementerian Kominfo
National Sociopreneur 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Energi Terbarukan,1921,36000000,,2026-03-18,Kementerian Sosial
gagasan medis semarang 2024   ,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,1804,23000000,,2024-03-07,Kementerian Kesehatan RI
National Impact Fest 2024,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,1459,34000000,,2024-07-06,YAYASAN RUANGGURU
Gelar Med Inno Yogyakarta,Kesehatan,Teknologi Medis,Pencegahan Stunting,3874,42000000,,2024-10-18,Yayasan Peduli Sehat
festival impact fest surabaya   ,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Umum - Sosial & Lingkungan,1921,28000000,,2024-11-16,Kementerian Sosial
Gelar Business Case Denpasar,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Keuangan Inklusif,3618,29000000,,2026-04-25,Kementerian Koperasi dan UKM
Kompetisi Medical Hackathon Palembang,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1804,33000000,,2025-11-10,Kementerian Kesehatan RI
NATIONAL MEDICAL HACKATHON 2024,Kesehatan,Teknologi Medis,Telemedicine Inklusif,2730,29000000,,2024-12-23,Kementerian Kesehatan RI
National Hackathon 2024,Tech & IT,UI/UX Design,Data Privacy,1288,47000000,2024-01-01,2024-12-23,AWS Indonesia
gelar venture challenge denpasar   ,Bisnis & Ekonomi,Business Plan,Green Economy,190,30000000,2024-01-01,2024-02-02,Bank Indonesia
National Relawan Challenge 2026,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,1921,34000000,2024-01-01,2024-02-02,UNICEF INDONESIA
Gelar Ideathon Denpasar,Tech & IT,Umum - Tech & IT,Data Privacy,919,22000000,,2025-09-16,kementerian kominfo   
national preneur olympiad 2026   ,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,-492,10000000,,2026-07-23,Inkubator Bisnis Univ
Health Challenge Bengkulu 2025,Kesehatan,Teknologi Medis,Telemedicine Inklusif,3082,7000000,,2025-04-19,Ikatan Dokter Indonesia
gelar tech challenge bali   ,Tech & IT,Data Science,Blockchain for Good,2157,38000000,,2024-06-27,AWS Indonesia
Festival Impact Fest Jakarta,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,1630,34000000,,2026-12-05,Kitabisa
Gelar Health Challenge Samarinda,Kesehatan,Umum - Kesehatan,Awareness Kesehatan Mental,1965,15000000,,2026-08-27,IKATAN DOKTER INDONESIA
Hackathon Pontianak 2025,Tech & IT,Cyber Security,Generative AI,2730,47000000,,2025-07-28,Google Developer Group
Hackathon Surabaya 2025,Tech & IT,Software Development,Smart City,1750,29000000,,2025-06-20,PT Telkom Indonesia
FESTIVAL HACKATHON MEDAN,Tech & IT,AI/Machine Learning,Aplikasi Layanan Publik,64,49000000,,2024-05-26,Kementerian Kominfo
National Pitching Summit 2025,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,3381,12000000,,2024-05-26,Bursa Efek Indonesia
DEVFEST BALI 2026,Tech & IT,Cyber Security,Data Privacy,3341,24000000,,2026-09-23,Kementerian Kominfo
National Datathon 2026,Tech & IT,Data Science,Smart City,1626,33000000,,2026-07-25,PT Telkom Indonesia
National Aksi Sehat 2026,Kesehatan,Kesehatan Masyarakat,Inovasi Alat Medis,2275,18000000,,2027-01-03,yayasan peduli sehat   
Hackathon Bengkulu 2025,Tech & IT,Data Science,Blockchain for Good,3326,13000000,,2025-06-20,GOOGLE DEVELOPER GROUP
Gelar Ideathon Medan,Tech & IT,AI/Machine Learning,Smart City,2190,29000000,,2024-06-13,Tech Community
Festival CodeFest Padang,Tech & IT,Data Science,Generative AI,3202,29000000,,2024-10-06,Tech Community
NATIONAL MED INNO 2024,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,2498,8000000,,2024-04-27,Penyelenggara Independen
pitching summit bali 2024   ,Bisnis & Ekonomi,Marketing,Umum - Bisnis & Ekonomi,2583,8000000,,2024-04-29,Bank Indonesia
National Gagasan Medis 2025,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,2146,47000000,,2025-06-28,kementerian kesehatan ri   
eco summit nasional 2025   ,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,1822,7000000,,2025-07-19,UNICEF Indonesia
Medical Hackathon Bali 2024,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,1804,9000000,,2024-06-11,Yayasan Peduli Sehat
National Ideathon 2024,Tech & IT,UI/UX Design,Generative AI,1626,9000000,,2024-01-23,google developer group   
Festival Pitching Summit Samarinda,Bisnis & Ekonomi,Pengembangan UMKM,Umum - Bisnis & Ekonomi,3887,17000000,,2026-10-05,Penyelenggara Independen
National Health Challenge 2025,Kesehatan,Teknologi Medis,Awareness Kesehatan Mental,1804,11000000,,2025-04-10,WHO INDONESIA
National Pitching Summit 2025,Bisnis & Ekonomi,Business Plan,Ekonomi Sirkular,851,21000000,,2025-04-29,Bursa Efek Indonesia
Kompetisi CodeFest Surabaya,Tech & IT,UI/UX Design,Data Privacy,1626,14000000,,2024-08-20,Penyelenggara Independen
Festival Venture Challenge Palembang,Bisnis & Ekonomi,Marketing,Strategi Pemasaran Gen Z,3673,34000000,,2024-08-12,BANK INDONESIA
National Health Challenge 2026,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,355,14000000,,2026-06-11,who indonesia   
Startup Fest Padang 2026,Bisnis & Ekonomi,Kewirausahaan,Keuangan Inklusif,1094,50000000,,2026-08-27,BCA
GELAR VENTURE CHALLENGE BENGKULU,Lainnya,Pengembangan UMKM,Green Economy,1840,21000000,,2026-08-27,INKUBATOR BISNIS UNIV
NATIONAL VENTURE CHALLENGE 2024,Bisnis & Ekonomi,Kewirausahaan,Strategi Pemasaran Gen Z,2090,5000000,,2024-11-25,Kementerian Koperasi dan UKM
Preneur Olympiad Makassar 2025,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,3924,29000000,,2025-07-14,Penyelenggara Independen
National Medical Hackathon 2025,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,1528,5000000,,2025-06-27,Yayasan Peduli Sehat
Tech Challenge Batam 2025,Tech & IT,Cyber Security,Smart City,2801,29000000,,2025-07-23,Kementerian Kominfo
kompetisi datathon medan   ,Tech & IT,Cyber Security,Generative AI,-2520,44000000,,2025-07-23,PT TELKOM INDONESIA
Gagasan Medis Medan 2024,Kesehatan,Teknologi Medis,Inovasi Alat Medis,2347,50000000,,2024-07-13,Ikatan Dokter Indonesia
National Eco Summit 2026,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,-666,9000000,,2026-09-18,Yayasan Ruangguru
National Business Case 2024,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,2877,20000000,,2024-05-10,BURSA EFEK INDONESIA
Gelar Impact Fest Samarinda,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,2479,31000000,,2024-03-20,UNICEF Indonesia
Preneur Olympiad Denpasar 2025,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,3039,15000000,,2025-11-15,Penyelenggara Independen
Gelar Business Case Semarang,Bisnis & Ekonomi,Kewirausahaan,Green Economy,3455,40000000,,2024-03-29,Bursa Efek Indonesia
National Med Inno 2026,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,2448,41000000,,2026-07-25,WHO Indonesia
gelar relawan challenge bengkulu   ,Sosial & Lingkungan,Pemberdayaan Masyarakat,Aksi Tanggap Bencana,3781,37000000,,2026-11-02,Kementerian Sosial
Gelar Aksi Sehat Semarang,Kesehatan,Umum - Kesehatan,Pencegahan Stunting,870,45000000,,2024-06-09,IKATAN DOKTER INDONESIA
Gelar Gagasan Medis Padang,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,3666,13000000,,2026-05-10,Ikatan Dokter Indonesia
National Med Inno 2026,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,3333,25000000,2026-07-28,2026-10-07,Yayasan Peduli Sehat
National Gagasan Medis 2024,Kesehatan,Umum - Kesehatan,Inovasi Alat Medis,446,12000000,,2024-09-21,WHO Indonesia
